Date,ret,drxon,log_vol,volume,spx,nasdaq,vix,epu,gepu,nft,cbdc_u,cbdc_a,gt_web,gt_news,SER,active add,over10k,over100k,over1m,over1k,mean trans fee,total fee,miner rev,rev per hash,hashrate,mean hashrate,blox,diffic,mean diffic,inflows,outflows,transx,transf usd,transf
1/2/2017,0.023781466,1,0,0.648393456,0.002110451,0.00212312,-0.022375655,0.029092046,-0.00775793,8.33E-05,0.000550656,0.000172195,-0.001055727,-0.003042378,-0.007461207,0.397828937,0.09565896,0.31821648,0.310611098,0.150754448,0.006925563,0.493701852,0.057935752,0.038887527,0.019048195,0.000864254,0.019048195,0,0,0.423231262,0.545169514,0.486776289,0.048133545,0.334910135
1/3/2017,0.021580124,1,0,0.047878869,0.002106006,0.002118622,-0.022887806,-0.990961389,-0.007818587,8.33E-05,0.000550352,0.000172165,-0.001056843,-0.003051663,-4.28849E-05,-0.04406126,0.005495176,0.017561733,0.006112828,0.004993461,0.063877409,0.130327686,0.050679299,0.019717082,0.030962226,0.006995246,0.030962226,0,0,0.346054122,0.270039027,0.066450277,0.262790459,0.050699072
1/4/2017,0.09969936,1,0,0.187203508,0.005705964,0.008787801,-0.081015941,0.126733156,-0.007880199,8.32E-05,0.00055005,0.000172136,-0.001057961,-0.003061004,-0.001243311,0.044134638,0.044801042,0.061438025,0.087980436,0.039507696,0.482262948,0.535091513,0.061519322,0.130947859,-0.069428506,0.003614654,-0.069428506,0,3.10862E-15,0.482525381,0.429424086,0.052828564,0.196326011,-0.045446786
1/5/2017,-0.132271471,-1,0,0.59950659,-0.000770968,0.001995441,-0.015306447,0.276466357,-0.00794279,8.32E-05,0.000549747,0.000172106,-0.001059082,-0.003070402,0.003845138,-0.062520867,-0.056960016,-0.095909658,-0.12811015,-0.058073845,-0.496612269,-0.61199474,-0.244619766,-0.155824257,-0.088795499,0.001050344,-0.088795499,0,0,-0.009905581,0.300931906,-0.115382471,0.296938309,-0.152061076
1/6/2017,-0.11348195,-1,0,0.014978073,0.003510789,0.006016935,-0.030450407,-0.326939474,-0.008006384,8.32E-05,0.000549445,0.000172076,-0.001060205,-0.003079859,-0.001331552,0.096009994,-0.142412068,-0.389689519,-0.391719187,-0.21233439,-0.210063433,-0.04115277,0.021445679,-0.118316245,0.139761942,0.000897886,0.139761942,0,-3.10862E-15,-0.490143865,-0.318161487,0.168910664,-0.523001286,0.174644028
1/7/2017,0.007036803,1,0,-0.305680626,-0.001183565,0.000649409,0.007042304,0.12816744,-0.008071003,8.32E-05,0.000549144,0.000172047,-0.00106133,-0.003089374,-0.001745572,-0.114377086,0.003608693,0.008279825,0.009341894,0.00444835,0.045849498,-0.155155535,-0.142687202,0.011463484,-0.15415068,-0.000848064,-0.15415068,0,3.10862E-15,-0.105258959,-0.470707575,-0.201005033,-0.086498628,-0.154573482
1/8/2017,0.001485844,1,0,-0.483371254,-0.001184967,0.000648987,0.006993057,0.903269738,-0.008136675,8.32E-05,0.000548842,0.000172017,-0.001062457,-0.003098947,-0.005842845,-0.075930325,0.009704835,0.011089532,0.034070599,0.005914576,-0.064234618,-0.15680862,0.183056984,-0.007683204,0.190740127,0.010247536,0.190740127,0,-3.10862E-15,-0.461801041,-0.318849659,-0.092574001,-0.369472422,-0.076321808
1/9/2017,-0.007301935,-1,0,-0.282802455,-0.001186373,0.000648566,0.006944493,-0.803786936,-0.008203424,8.32E-05,0.000548541,0.000171988,-0.001063587,-0.003108581,0.00677037,0.036017819,-0.008458701,-0.013526927,-0.039155356,-0.003223414,0.072378794,0.139450162,-0.197758281,0.007580668,-0.205338927,0.003798082,-0.205338927,0,3.10862E-15,0.098445714,0.137654978,0.067071368,0.489944779,0.039024038
1/10/2017,0.004734689,1,0,-0.194785291,0,0.003608927,-0.006073828,0.001149142,-0.008271277,0.000340504,0.005771879,0.00335384,-0.00106472,-0.003118274,2.31295E-05,0.125965099,0.000315134,0.001808959,0.017684671,0.002808288,-0.03050253,0.128460927,0.163694274,-0.006355316,0.170049613,-0.001708899,0.162518929,0.058714922,0.007530683,0.206741728,0.285909284,0.158963457,-0.164332399,0.117527857
1/11/2017,-0.152928041,-1,0,0.425548539,0.002825642,0.00212858,-0.020220429,0.021586491,-0.008340262,0.000340388,0.005738757,0.003342631,-0.001065855,-0.003128028,-0.000167448,-0.08846405,-0.056571815,-0.102605309,-0.12144164,-0.062030559,-0.13879028,-0.192515972,-0.184879457,-0.191327878,0.006448345,0.004819885,-0.044735894,0,0.051184239,0.53293606,0.338991915,-0.053725692,0.814914219,-0.101568519
